id,label,tweet
1,0,"É a app que uso mais frequentemente, uma vez que, em geral, indica a chegada dos autocarros em tempo real. No entanto, já aconteceu indicar autocarros que não passaram. É prática para quem faz viagens frequentes recorrendo às mesmas paragens, já que permite criar uma lista de favoritos, onde ficam registados os códigos das paragens. Não é nada prática quando o objetivo é planificar novos percursos e conexões."
2,1,"Não mostra todas as paragens da respectiva linha, o tempo de espera muito dificilmente se encontra correto... Esta aplicação vai de mal a pior"
3,1,"Fecha de vez em quando e nem sempre está operacional, mas oferece uma grande variedade de transportes e rotas alternativas. Acho que podiam melhorar em certas áreas como tornar a aplicação mais fácil de se utilizar"
4,1,"Tenho um tracking de todos os bus em tempo real, no entanto o 700 é mágico aparece no mapa e depois desaparece e falha 2 horários seguidos. Só queria que os STCP não tivessem se metido nas carreiras Valpi, porque quando não existia 700 tinha sempre bus para ir e vir do trabalho nos horários certos. Vocês precisam é de mais competição e mais multas por falharem 3 ou 4 horários seguidos!!"
5,1,"É quase um aplicativo afuncional!! Fecha 90% das vezes, começou hoje erros absurdos de horário, ônibus em horários que aparecem e desaparecem e depois não atualizam... e aí então da problema e fecha! Uma ideia tão boa, mas sem manutenção e cuidados!!!"
6,1,"Está constantemente errada quanto aos horários em tempo real dos transportes."
7,1,"No começo que comecei a usar a aplicação funcionava muito bem, ultimamente a aplicação não da os horarios correctos"
8,1,"uma aplicação que crasha SEMPRE que se faz uma pesquisa, seja no mapa ou pelo código da paragem, considerando que a utilidade da app seria esse, é puor que inútil. é frustrantemente inútil"
9,0,"Este aplicativo sempre me foi útil. Porém, desde que troquei de aparelho , não consegui mais usar. O aplicativo não funciona, já instalei 10 vezes e nada. Meu aparelho é Zenfone 4 selfie pro."
10,1,"Nunca vi uma app a funcionar tão mal. Dois minutos, crashou 3 vezes. Não funciona, é complicada de usar. Não vale a pena."
11,0,"o conceito é fenomenal e uso bastantes vezes, o problema é que recentemente nunca consegue obter em tempo real os dados dos autocarros, ou seja, é como se não existisse a aplicação"
12,1,"A aplicação é muito útil mas trava sem motivo aparente e a própria APP necessita de uma cara nova (design). Validem os constantes bloqueios e fechos uma vez q já validei em mais q um equipamento."
13,1,"Honestamente uma das piores é mais frustrantes aplicações que alguma vez utilizei, absoluto lixo, raramente funciona, e quando funciona tem os horários incorrectos."
14,1,"A app foi muito útil durante meses. Desde há uns meses para cá a app crasha constantemente. É impossível usar."
15,1,"Já há quase 2 meses que não fornece o horário em tempo real (*) Já desinstalei e voltei a instalar, e nada. Era uma App que usava todos os dias, agora não é confiável."
16,1,"O app para de funcionar a todo tempo. A busca é por empresa e não pelo número do autocarro, ou seja, não ajuda turistas e nem pessoas q vivem há pouco na cidade. Não funciona a localização."
17,1,"A maior parte das vezes não funciona, horários por vezes não são em tempo real, vai abaixo a meio da pesquisa. Péssimo."
18,1,"Falha demasiadas vezes. Na pesqiisa de horarios da CP raramente funciona. Tinha tudo para ser uma boa aplicação... é pena!!!"
19,1,"Deixa de funcionar muitas vezes e outras informa que o autocarro passa em 15minutos e passado 3/4 passa um. Nao e muito util desta forma"
20,1,"trava muito.. nestes últimos tempos.. não tem indicado, o tempo real, que a viatura demora a chegar à paragem.."
21,1,"Não dá para pesquisar o que quer que seja. Já funcionou relativamente bem mas de momento é uma aplicação inútil."
22,1,"Está constantemente a ir abaixo. Podia ter horários da Resende atualizados, visto a última atualização ter sido em 2016."
